strategy,lambda,energy
periodic,0.1,27.96
periodic,0.2,41.74
periodic,0.3,41.46
periodic,0.4,52.29
periodic,0.5,70.1
periodic,0.6,74.78999999999999
periodic,0.7,84.13
periodic,0.8,98.13
periodic,0.9,108.49000000000001
periodic,1.0,112.11
periodic,1.1,103.87
periodic,1.2,121.61
periodic,1.3,133.59
periodic,1.4,100.9
periodic,1.5,136.12
periodic,1.6,109.09
periodic,1.7,121.97
periodic,1.8,129.95
periodic,1.9,136.37
periodic,2.0,136.81
periodic,2.1,152.3
periodic,2.2,161.82999999999998
periodic,2.3,133.53
periodic,2.4,156.59
periodic,2.5,137.0
periodic,2.6,152.22
periodic,2.7,158.56
periodic,2.8,134.43
periodic,2.9,163.02
periodic,3.0,154.86
periodic,3.1,136.73000000000002
periodic,3.2,145.63
periodic,3.3,177.72
periodic,3.4,168.5
periodic,3.5,164.29
periodic,3.6,165.8
periodic,3.7,165.22
periodic,3.8,188.35
periodic,3.9,176.39
periodic,4.0,144.13
periodic,4.1,179.86
periodic,4.2,176.37
periodic,4.3,162.62
periodic,4.4,167.38
periodic,4.5,172.28
periodic,4.6,165.82999999999998
periodic,4.7,167.13
periodic,4.8,138.8
periodic,4.9,182.0
periodic,5.0,172.63
periodic,5.1,148.76
periodic,5.2,193.79
periodic,5.3,156.66
periodic,5.4,178.07999999999998
periodic,5.5,200.29
periodic,5.6,166.02
periodic,5.7,176.12
periodic,5.8,193.96
periodic,5.9,169.7
periodic,6.0,157.9
periodic,6.1,178.07999999999998
periodic,6.2,186.15
periodic,6.3,149.32999999999998
periodic,6.4,163.11
periodic,6.5,181.27
periodic,6.6,162.32999999999998
periodic,6.7,154.24
periodic,6.8,168.99
periodic,6.9,177.87
periodic,7.0,184.42000000000002
periodic,7.1,182.57999999999998
periodic,7.2,197.71
periodic,7.3,189.95
periodic,7.4,193.09
periodic,7.5,204.69
periodic,7.6,174.15
periodic,7.7,172.94
periodic,7.8,154.76
periodic,7.9,218.36
periodic,8.0,170.93
periodic,8.1,197.71
periodic,8.2,173.73000000000002
periodic,8.3,185.17000000000002
periodic,8.4,146.05
periodic,8.5,207.11
periodic,8.6,178.07
periodic,8.7,199.79
periodic,8.8,182.01
periodic,8.9,180.29
periodic,9.0,176.98000000000002
periodic,9.1,154.65
periodic,9.2,184.26
periodic,9.3,162.67000000000002
periodic,9.4,201.76
periodic,9.5,188.6
periodic,9.6,163.42000000000002
periodic,9.7,168.5
periodic,9.8,203.93
periodic,9.9,181.0
periodic,10.0,189.82
temporal_aggregation,0.1,8.27
temporal_aggregation,0.2,19.07
temporal_aggregation,0.3,24.3
temporal_aggregation,0.4,42.93
temporal_aggregation,0.5,38.5
temporal_aggregation,0.6,48.43
temporal_aggregation,0.7,60.92
temporal_aggregation,0.8,73.93
temporal_aggregation,0.9,73.65
temporal_aggregation,1.0,85.78
temporal_aggregation,1.1,81.99000000000001
temporal_aggregation,1.2,101.72
temporal_aggregation,1.3,116.97
temporal_aggregation,1.4,126.45
temporal_aggregation,1.5,111.93
temporal_aggregation,1.6,108.08
temporal_aggregation,1.7,110.24
temporal_aggregation,1.8,151.54000000000002
temporal_aggregation,1.9,140.39
temporal_aggregation,2.0,194.7
temporal_aggregation,2.1,163.04000000000002
temporal_aggregation,2.2,191.26999999999998
temporal_aggregation,2.3,187.26
temporal_aggregation,2.4,224.68
temporal_aggregation,2.5,213.43
temporal_aggregation,2.6,209.69
temporal_aggregation,2.7,220.11
temporal_aggregation,2.8,246.69
temporal_aggregation,2.9,244.64000000000001
temporal_aggregation,3.0,257.90999999999997
temporal_aggregation,3.1,268.07
temporal_aggregation,3.2,279.86
temporal_aggregation,3.3,290.68
temporal_aggregation,3.4,275.34000000000003
temporal_aggregation,3.5,278.59000000000003
temporal_aggregation,3.6,309.78999999999996
temporal_aggregation,3.7,298.86
temporal_aggregation,3.8,348.33000000000004
temporal_aggregation,3.9,300.15999999999997
temporal_aggregation,4.0,338.42
temporal_aggregation,4.1,332.34000000000003
temporal_aggregation,4.2,363.92
temporal_aggregation,4.3,365.72
temporal_aggregation,4.4,354.59000000000003
temporal_aggregation,4.5,337.96000000000004
temporal_aggregation,4.6,363.88
temporal_aggregation,4.7,422.90000000000003
temporal_aggregation,4.8,380.44
temporal_aggregation,4.9,440.69
temporal_aggregation,5.0,421.26
temporal_aggregation,5.1,441.31
temporal_aggregation,5.2,451.86
temporal_aggregation,5.3,471.08
temporal_aggregation,5.4,441.14
temporal_aggregation,5.5,445.52
temporal_aggregation,5.6,479.65000000000003
temporal_aggregation,5.7,477.1
temporal_aggregation,5.8,497.1
temporal_aggregation,5.9,488.34000000000003
temporal_aggregation,6.0,482.81
temporal_aggregation,6.1,536.45
temporal_aggregation,6.2,500.57
temporal_aggregation,6.3,543.88
temporal_aggregation,6.4,574.36
temporal_aggregation,6.5,550.94
temporal_aggregation,6.6,538.36
temporal_aggregation,6.7,567.06
temporal_aggregation,6.8,613.05
temporal_aggregation,6.9,608.64
temporal_aggregation,7.0,619.5699999999999
temporal_aggregation,7.1,615.28
temporal_aggregation,7.2,605.86
temporal_aggregation,7.3,642.99
temporal_aggregation,7.4,630.96
temporal_aggregation,7.5,588.1700000000001
temporal_aggregation,7.6,678.53
temporal_aggregation,7.7,646.8199999999999
temporal_aggregation,7.8,689.14
temporal_aggregation,7.9,639.02
temporal_aggregation,8.0,672.59
temporal_aggregation,8.1,669.09
temporal_aggregation,8.2,707.62
temporal_aggregation,8.3,711.51
temporal_aggregation,8.4,744.8199999999999
temporal_aggregation,8.5,715.75
temporal_aggregation,8.6,750.9000000000001
temporal_aggregation,8.7,764.23
temporal_aggregation,8.8,795.13
temporal_aggregation,8.9,738.94
temporal_aggregation,9.0,745.96
temporal_aggregation,9.1,763.53
temporal_aggregation,9.2,760.9300000000001
temporal_aggregation,9.3,789.26
temporal_aggregation,9.4,790.21
temporal_aggregation,9.5,848.86
temporal_aggregation,9.6,808.91
temporal_aggregation,9.7,854.77
temporal_aggregation,9.8,852.5600000000001
temporal_aggregation,9.9,794.96
temporal_aggregation,10.0,849.8100000000001
threshold,0.1,18.560000000000002
threshold,0.2,28.060000000000002
threshold,0.3,31.73
threshold,0.4,67.73
threshold,0.5,73.2
threshold,0.6,107.66
threshold,0.7,97.78999999999999
threshold,0.8,113.11
threshold,0.9,136.17000000000002
threshold,1.0,134.97
threshold,1.1,148.34
threshold,1.2,172.5
threshold,1.3,232.71
threshold,1.4,194.79
threshold,1.5,230.59
threshold,1.6,261.03
threshold,1.7,277.65
threshold,1.8,265.87
threshold,1.9,307.87
threshold,2.0,296.40999999999997
threshold,2.1,318.04
threshold,2.2,301.11
threshold,2.3,336.73
threshold,2.4,406.76
threshold,2.5,361.69
threshold,2.6,372.01
threshold,2.7,357.73
threshold,2.8,436.2
threshold,2.9,441.74
threshold,3.0,412.02
threshold,3.1,436.52
threshold,3.2,473.69
threshold,3.3,502.22
threshold,3.4,444.09000000000003
threshold,3.5,473.65
threshold,3.6,494.84000000000003
threshold,3.7,511.73
threshold,3.8,560.1700000000001
threshold,3.9,462.15999999999997
threshold,4.0,552.26
threshold,4.1,594.24
threshold,4.2,655.8
threshold,4.3,560.1700000000001
threshold,4.4,609.06
threshold,4.5,658.74
threshold,4.6,706.13
threshold,4.7,704.62
threshold,4.8,659.15
threshold,4.9,685.5699999999999
threshold,5.0,683.87
threshold,5.1,749.4300000000001
threshold,5.2,788.3
threshold,5.3,787.11
threshold,5.4,751.4200000000001
threshold,5.5,776.94
threshold,5.6,810.06
threshold,5.7,693.45
threshold,5.8,805.09
threshold,5.9,773.47
threshold,6.0,770.01
threshold,6.1,874.6
threshold,6.2,800.12
threshold,6.3,786.48
threshold,6.4,883.33
threshold,6.5,982.2
threshold,6.6,961.6800000000001
threshold,6.7,983.95
threshold,6.8,960.05
threshold,6.9,1054.6100000000001
threshold,7.0,990.59
threshold,7.1,1066.83
threshold,7.2,1059.56
threshold,7.3,1037.51
threshold,7.4,1033.19
threshold,7.5,1120.6100000000001
threshold,7.6,1018.11
threshold,7.7,1126.08
threshold,7.8,1073.19
threshold,7.9,1069.5900000000001
threshold,8.0,1038.91
threshold,8.1,1136.78
threshold,8.2,1162.43
threshold,8.3,1241.5900000000001
threshold,8.4,1171.43
threshold,8.5,1319.1399999999999
threshold,8.6,1301.49
threshold,8.7,1229.3400000000001
threshold,8.8,1213.21
threshold,8.9,1258.97
threshold,9.0,1210.96
threshold,9.1,1244.97
threshold,9.2,1307.5
threshold,9.3,1439.63
threshold,9.4,1400.68
threshold,9.5,1288.08
threshold,9.6,1453.77
threshold,9.7,1262.57
threshold,9.8,1462.21
threshold,9.9,1407.85
threshold,10.0,1397.8600000000001
